"population"	"pct_white"	"pct_black"	"pct_native"	"pct_asian"	"pct_pacific_islander"	"pct_race_other"	"pct_hispanic_latinx"	"pct_commute_drive"	"pct_commute_carpool"	"pct_commute_public"	"pct_commute_walk"	"pct_commute_other"	"pct_work_home"	"commute_time_mean"	"median_income"	"pct_private_health_ins"	"pct_public_health_ins"	"pct_no_health_ins"	"pct_impoverished"	"pct_owner_occupied_homes"	"pct_attained_hs"	"pct_some_college"	"pct_associates"	"pct_bachelors"	"pct_grad_degree"	"pct_hs_or_higher"	"pct_enrolled_prek"	"pct_enrolled_elementary_middle"	"pct_enrolled_hs"	"pct_less_than_hs"	"pct_fair_poor_health"	"teen_birth_rate"	"pcp_ratio"	"preventable_hosp_rate"	"pct_unemployed"	"pct_children_poverty"	"income_ratio"	"social_assoc_rate"	"air_pollution"	"water_violations"	"severe_housing_problems"	"pct_food_insecure"	"median_income_white"	"median_income_black"	"median_income_hispanic"	"segregation_black_white"	"segregation_white_non"	"pct_rural"	"pct_child_no_ins"	"pct_child_food_insecure"	"child_abuse_rate"	"pct_stayed"	"pct_lib_program_atten"	"lib_visit_rate"	"pct_lib_patrons"	"lib_hours_per_person"	"death_rate"	"missing_lib_atten"	"missing_visit_rate"	"missing_lib_patrons"	"missing_lib_hours"	"missing_water_violations"	"missing_hispanic_income"	"missing_income_black"	"missing_bw_segregation"	"missing_pcp"	"missing_nw_segregation"	"missing_death_rate"	"missing_prev_hosp"
"air_pollution"	0.24	-0.03	-0.15	0.42	0.21	0.17	-0.21	-0.13	-0.05	0.1	0.23	-0.12	-0.02	-0.14	0.14	0.14	-0.12	-0.09	0.2	0.07	-0.06	-0.13	-0.12	0.2	0.09	0.13	0.1	-0.01	0.03	-0.01	-0.1	0.07	-0.04	-0.18	0.07	0.12	-0.02	-0.02	-0.39	1	0.26	0.14	0.07	0.11	0.09	-0.01	0.41	0.05	-0.25	-0.13	0.14	0.08	0.05	0.01	0.14	0.19	-0.25	-0.08	0.05	0.05	0.05	0.05	0.01	-0.21	-0.25	-0.27	-0.16	-0.25	-0.4	0.01
"water_violations"	-0.06	-0.13	-0.08	0.39	-0.09	-0.02	0.09	0.07	-0.01	0.22	-0.13	0.08	-0.08	-0.14	-0.16	-0.17	-0.22	0.08	0.28	0.22	-0.12	0.09	0.2	-0.08	-0.09	-0.11	-0.02	0.18	0.11	-0.08	0.02	0.33	0.16	-0.09	0.05	0	0.17	0.23	0.03	0.26	1	0.12	0.33	-0.17	-0.28	-0.05	0.15	-0.12	-0.01	0.27	0.3	0.26	-0.09	0.14	0.21	0.26	0.24	0.2	0	0	0	0	NA	-0.2	-0.14	-0.1	-0.15	-0.17	0.02	NA
"severe_housing_problems"	0.15	-0.5	0.5	-0.15	0.28	0.15	-0.07	0.05	-0.31	0.02	0.2	0.36	0.3	-0.12	-0.07	-0.12	-0.03	-0.13	0.06	0.26	-0.7	-0.36	-0.15	0.03	0.14	0.28	-0.08	-0.15	-0.02	-0.39	0.08	0.18	-0.12	0.06	-0.19	0.26	0.27	0.41	0.04	0.14	0.12	1	0.4	-0.04	-0.12	-0.1	-0.02	0.27	-0.56	-0.37	-0.06	-0.29	-0.33	-0.05	-0.08	-0.16	-0.48	-0.25	0	0	0	0	0.66	-0.03	-0.36	-0.29	0.02	-0.05	-0.26	0.17
"pct_food_insecure"	-0.14	-0.53	0.43	0.41	-0.33	0.06	-0.1	-0.18	0.07	0.04	-0.18	0.15	0.25	-0.38	-0.43	-0.72	-0.69	0.57	0.5	0.76	-0.5	0.32	0.2	-0.04	-0.48	-0.37	-0.44	-0.04	0.06	-0.07	0.44	0.81	0.57	-0.1	0.3	0.58	0.8	0.63	0.11	0.07	0.33	0.4	1	-0.62	-0.64	-0.49	0.16	0.02	-0.09	0.17	0.73	0.37	-0.12	-0.12	-0.1	0.01	0.06	0.29	0.08	0.08	0.08	0.08	0.21	0	-0.1	-0.01	-0.01	-0.08	-0.05	-0.03
"median_income_white"	0.43	-0.11	0.11	-0.32	0.68	0.09	0.1	0.24	-0.34	-0.09	0.59	-0.11	0.08	0.4	0.44	0.97	0.74	-0.78	-0.48	-0.7	0.07	-0.69	-0.29	-0.08	0.78	0.73	0.62	0.18	-0.05	0.1	-0.62	-0.67	-0.57	0	-0.46	-0.5	-0.74	-0.47	-0.12	0.11	-0.17	-0.04	-0.62	1	0.79	0.58	-0.19	0.07	-0.29	-0.33	-0.76	-0.42	-0.27	0.21	0.23	0.03	-0.26	-0.37	-0.11	-0.11	-0.11	-0.11	0.07	-0.16	-0.19	-0.22	-0.09	-0.16	-0.04	0.04
"median_income_black"	0.3	0.03	-0.02	-0.31	0.59	0.13	0.09	0.24	-0.16	-0.1	0.35	-0.1	-0.05	0.28	0.39	0.82	0.69	-0.68	-0.49	-0.64	0.15	-0.53	-0.17	0	0.61	0.53	0.56	0.1	0	0.08	-0.56	-0.64	-0.5	0.06	-0.37	-0.42	-0.69	-0.53	-0.19	0.09	-0.28	-0.12	-0.64	0.79	1	0.56	-0.19	0.05	-0.28	-0.4	-0.69	-0.42	-0.15	0.14	0.24	0	-0.26	-0.38	-0.09	-0.09	-0.09	-0.09	0.1	-0.13	NA	-0.14	-0.06	-0.05	-0.07	0.1
"median_income_hispanic"	0.12	0	0.11	-0.32	0.3	0.02	-0.07	-0.02	-0.07	-0.08	0.21	-0.12	0.01	0.17	0.43	0.62	0.55	-0.5	-0.44	-0.57	0.22	-0.31	-0.17	0.08	0.4	0.34	0.41	0.04	0.08	0.16	-0.41	-0.56	-0.45	0.09	-0.31	-0.25	-0.55	-0.4	-0.12	-0.01	-0.05	-0.1	-0.49	0.58	0.56	1	-0.4	-0.08	-0.09	-0.35	-0.57	-0.43	-0.16	0.02	0.14	0	-0.18	-0.17	-0.1	-0.1	-0.1	-0.1	0.04	NA	-0.11	-0.18	0.04	-0.14	-0.09	0.07
"segregation_black_white"	0.18	0.19	-0.32	0.32	0.01	0.07	0.05	0.04	0.14	-0.08	0.02	0.04	-0.3	-0.25	-0.4	-0.17	-0.21	0.07	0.22	0.21	-0.18	0.01	0.12	0	0.02	-0.06	0.04	0.05	-0.13	-0.14	-0.04	0.19	0.25	-0.25	0.32	0.08	0.13	0.12	-0.1	0.41	0.15	-0.02	0.16	-0.19	-0.19	-0.4	1	0.55	-0.28	0.14	0.34	0.35	0.06	0.11	0.06	0.14	0.08	0.03	-0.02	-0.02	-0.02	-0.02	0.07	-0.23	0.2	NA	-0.12	NA	NA	0.01
"segregation_white_non"	0.25	-0.11	0.21	-0.35	0.17	0.01	-0.05	-0.03	-0.01	-0.12	0.16	0.08	-0.04	-0.14	-0.08	0.03	0.15	-0.09	-0.24	0.05	-0.29	-0.28	-0.07	0.13	0.14	0.19	0.01	-0.11	-0.14	-0.13	-0.01	-0.19	-0.08	0	-0.08	0.17	0.04	0.07	-0.08	0.05	-0.12	0.27	0.02	0.07	0.05	-0.08	0.55	1	-0.4	-0.43	-0.16	-0.22	-0.02	0.15	-0.04	-0.13	-0.28	-0.26	-0.03	-0.03	-0.03	-0.03	0.34	-0.02	-0.06	-0.13	-0.13	NA	-0.07	0.05
"pct_rural"	-0.4	0.28	-0.21	0.15	-0.57	-0.29	-0.13	-0.28	0.26	0.08	-0.38	-0.24	-0.1	0.12	0.31	-0.26	-0.26	0.44	0.15	0.02	0.69	0.62	0.08	-0.1	-0.51	-0.5	-0.32	0.02	0.11	0.32	0.32	0.08	0.13	0.15	0.22	0.05	0.11	-0.06	-0.07	-0.25	-0.01	-0.56	-0.09	-0.29	-0.28	-0.09	-0.28	-0.4	1	0.48	0.21	0.17	0.49	-0.19	-0.22	0.01	0.44	0.33	0.18	0.18	0.18	0.18	-0.71	0.23	0.3	0.3	-0.02	0.06	0.21	-0.24
"pct_child_no_ins"	-0.22	0.2	-0.44	0.61	-0.32	-0.04	0.31	0.31	0.05	0.2	-0.23	0	-0.24	0.05	-0.24	-0.31	-0.49	0.29	0.62	0.21	0.23	0.45	0.13	-0.36	-0.27	-0.36	-0.18	0.21	-0.09	0.01	0.18	0.53	0.48	-0.18	0.4	-0.14	0.19	0.08	0.14	-0.13	0.27	-0.37	0.17	-0.33	-0.4	-0.35	0.14	-0.43	0.48	1	0.55	0.62	0.11	-0.05	-0.03	0.1	0.59	0.48	0.09	0.09	0.09	0.09	-0.43	-0.18	0.34	0.41	0	0	0.4	-0.12
"pct_child_food_insecure"	-0.22	0	-0.19	0.69	-0.5	0.01	-0.01	-0.11	0.29	0.11	-0.37	-0.02	-0.13	-0.4	-0.46	-0.78	-0.87	0.72	0.72	0.79	-0.09	0.62	0.3	-0.04	-0.65	-0.62	-0.47	-0.01	0.03	-0.04	0.47	0.83	0.73	-0.18	0.56	0.47	0.72	0.44	0.03	0.14	0.3	-0.06	0.73	-0.76	-0.69	-0.57	0.34	-0.16	0.21	0.55	1	0.68	0.18	-0.11	-0.08	0.18	0.38	0.5	0.11	0.11	0.11	0.11	-0.16	-0.02	0.19	0.25	-0.01	-0.02	0.04	-0.12
"child_abuse_rate"	-0.13	0.19	-0.43	0.64	-0.31	0.02	0.21	0.12	0.19	0.07	-0.22	-0.05	-0.27	-0.13	-0.44	-0.4	-0.51	0.35	0.55	0.35	0.06	0.38	0.3	-0.11	-0.29	-0.37	-0.11	0.23	-0.06	-0.05	0.11	0.57	0.59	-0.31	0.53	0.02	0.32	0.2	0.05	0.08	0.26	-0.29	0.37	-0.42	-0.42	-0.43	0.35	-0.22	0.17	0.62	0.68	1	0.05	0.14	0.16	0.25	0.46	0.42	0.01	0.01	0.01	0.01	-0.31	-0.08	0.23	0.22	0.03	0.02	0.07	-0.08
"pct_stayed"	-0.01	0.26	-0.2	0.11	-0.41	-0.1	-0.24	-0.33	0.47	0.04	-0.43	-0.37	-0.27	-0.09	0.21	-0.21	-0.23	0.4	0.08	0.07	0.53	0.45	0.19	0.2	-0.41	-0.47	-0.22	-0.13	0.09	0.24	0.22	-0.03	0.14	0.05	0.09	0.13	0.12	-0.18	-0.21	0.05	-0.09	-0.33	-0.12	-0.27	-0.15	-0.16	0.06	-0.02	0.49	0.11	0.18	0.05	1	-0.18	-0.23	-0.05	0.05	0.22	0.06	0.06	0.06	0.06	-0.49	0.16	0.12	0.13	-0.11	0.16	-0.08	-0.27
"pct_lib_program_atten"	-0.04	0.12	-0.16	-0.07	0.18	-0.02	0.18	0.16	-0.16	-0.05	0.24	0.07	-0.07	0.08	-0.15	0.19	0.19	-0.15	-0.17	-0.12	-0.11	-0.29	-0.15	-0.08	0.29	0.33	0.23	0.24	-0.15	-0.04	-0.23	-0.1	-0.09	-0.13	0.02	-0.17	-0.14	0.03	0.17	0.01	0.14	-0.05	-0.12	0.21	0.14	0.02	0.11	0.15	-0.19	-0.05	-0.11	0.14	-0.18	1	0.53	0.34	0.06	-0.1	NA	NA	NA	NA	0.11	-0.07	0.02	0.06	-0.01	-0.01	-0.02	-0.02
"lib_visit_rate"	-0.06	0.15	-0.22	0.15	0.19	-0.01	-0.06	-0.02	-0.15	-0.07	0.26	0.09	-0.1	0	-0.14	0.2	0.21	-0.18	-0.15	-0.16	-0.1	-0.25	-0.11	-0.09	0.34	0.34	0.39	0.27	-0.13	0.01	-0.39	-0.12	-0.13	-0.04	-0.05	-0.2	-0.22	0	0.19	0.14	0.21	-0.08	-0.1	0.23	0.24	0.14	0.06	-0.04	-0.22	-0.03	-0.08	0.16	-0.23	0.53	1	0.57	0.28	0.03	NA	NA	NA	NA	0.22	-0.08	0.08	0.11	0.15	0.03	-0.1	0.08
"pct_lib_patrons"	-0.1	0.17	-0.26	0.32	-0.05	-0.05	-0.05	-0.08	0.01	0.07	0.04	-0.04	-0.09	-0.09	-0.07	0.02	-0.07	0.04	0.09	0.02	0.11	0.07	0.06	-0.02	0.02	0.01	0.18	0.25	0.01	0.06	-0.18	0.07	-0.01	-0.07	0.05	-0.1	-0.03	0	0.07	0.19	0.26	-0.16	0.01	0.03	0	0	0.14	-0.13	0.01	0.1	0.18	0.25	-0.05	0.34	0.57	1	0.46	0.09	NA	NA	NA	NA	0.01	-0.08	0.09	0.15	0.04	-0.05	-0.08	-0.1
"lib_hours_per_person"	-0.28	0.32	-0.39	0.32	-0.34	-0.21	0.09	0.06	0.09	0.09	-0.19	0.05	-0.26	-0.08	-0.2	-0.25	-0.29	0.32	0.29	0.12	0.29	0.43	0.13	-0.26	-0.24	-0.32	-0.12	0.16	-0.13	0.17	0.12	0.26	0.26	0.01	0.24	-0.17	0.11	0.04	0.33	-0.25	0.24	-0.48	0.06	-0.26	-0.26	-0.18	0.08	-0.28	0.44	0.59	0.38	0.46	0.05	0.06	0.28	0.46	1	0.43	NA	NA	NA	NA	-0.27	-0.01	0.53	0.56	0.33	0.15	0.31	-0.08
"death_rate"	-0.24	0.11	-0.16	0.38	-0.44	-0.05	-0.06	-0.14	0.26	0.04	-0.32	-0.08	-0.19	-0.14	-0.16	-0.38	-0.42	0.45	0.34	0.29	0.19	0.52	0.28	-0.11	-0.42	-0.45	-0.18	0.06	0.03	0.04	0.18	0.34	0.51	-0.17	0.35	0.18	0.3	0.13	0.21	-0.08	0.2	-0.25	0.29	-0.37	-0.38	-0.17	0.03	-0.26	0.33	0.48	0.5	0.42	0.22	-0.1	0.03	0.09	0.43	1	0.08	0.08	0.08	0.08	-0.23	0.01	0.09	0.19	-0.04	0.05	NA	0.08
"missing_lib_atten"	-0.16	-0.06	0.02	0.11	-0.06	-0.05	-0.05	-0.02	0.09	-0.01	-0.04	-0.07	-0.16	0.01	0.11	-0.12	-0.23	0.16	0.24	0.19	0.02	0.13	-0.17	-0.04	-0.17	-0.1	-0.26	0.03	0.05	0.15	0.26	0.14	0.1	0.23	0.18	0.19	0.17	0.06	-0.13	0.05	0	0	0.08	-0.11	-0.09	-0.1	-0.02	-0.03	0.18	0.09	0.11	0.01	0.06	NA	NA	NA	NA	0.08	1	1	1	1	-0.01	0.1	0.15	0.17	0.07	0.17	-0.05	-0.03
"missing_visit_rate"	-0.16	-0.06	0.02	0.11	-0.06	-0.05	-0.05	-0.02	0.09	-0.01	-0.04	-0.07	-0.16	0.01	0.11	-0.12	-0.23	0.16	0.24	0.19	0.02	0.13	-0.17	-0.04	-0.17	-0.1	-0.26	0.03	0.05	0.15	0.26	0.14	0.1	0.23	0.18	0.19	0.17	0.06	-0.13	0.05	0	0	0.08	-0.11	-0.09	-0.1	-0.02	-0.03	0.18	0.09	0.11	0.01	0.06	NA	NA	NA	NA	0.08	1	1	1	1	-0.01	0.1	0.15	0.17	0.07	0.17	-0.05	-0.03
"missing_lib_patrons"	-0.16	-0.06	0.02	0.11	-0.06	-0.05	-0.05	-0.02	0.09	-0.01	-0.04	-0.07	-0.16	0.01	0.11	-0.12	-0.23	0.16	0.24	0.19	0.02	0.13	-0.17	-0.04	-0.17	-0.1	-0.26	0.03	0.05	0.15	0.26	0.14	0.1	0.23	0.18	0.19	0.17	0.06	-0.13	0.05	0	0	0.08	-0.11	-0.09	-0.1	-0.02	-0.03	0.18	0.09	0.11	0.01	0.06	NA	NA	NA	NA	0.08	1	1	1	1	-0.01	0.1	0.15	0.17	0.07	0.17	-0.05	-0.03
"missing_lib_hours"	-0.16	-0.06	0.02	0.11	-0.06	-0.05	-0.05	-0.02	0.09	-0.01	-0.04	-0.07	-0.16	0.01	0.11	-0.12	-0.23	0.16	0.24	0.19	0.02	0.13	-0.17	-0.04	-0.17	-0.1	-0.26	0.03	0.05	0.15	0.26	0.14	0.1	0.23	0.18	0.19	0.17	0.06	-0.13	0.05	0	0	0.08	-0.11	-0.09	-0.1	-0.02	-0.03	0.18	0.09	0.11	0.01	0.06	NA	NA	NA	NA	0.08	1	1	1	1	-0.01	0.1	0.15	0.17	0.07	0.17	-0.05	-0.03
"missing_water_violations"	0.03	-0.33	0.38	-0.27	0.34	0.11	-0.01	0.12	-0.3	-0.1	0.32	0.35	0.2	-0.12	-0.21	0	0.09	-0.17	-0.11	0.15	-0.68	-0.41	-0.1	0.06	0.26	0.33	0.08	-0.07	-0.01	-0.27	-0.08	0.01	-0.11	0.08	-0.18	0.15	0.16	0.21	0.28	0.01	NA	0.66	0.21	0.07	0.1	0.04	0.07	0.34	-0.71	-0.43	-0.16	-0.31	-0.49	0.11	0.22	0.01	-0.27	-0.23	-0.01	-0.01	-0.01	-0.01	1	-0.03	-0.15	-0.09	0.14	0.08	-0.08	0.33
"missing_hispanic_income"	-0.17	0.02	0.14	-0.25	-0.17	-0.17	-0.2	-0.28	0.11	-0.17	-0.11	-0.02	0.17	0.02	0.16	-0.19	-0.04	0.29	-0.1	0.09	0.13	0.18	-0.06	0.06	-0.25	-0.15	-0.24	-0.12	0.07	0.18	0.24	-0.07	-0.06	0.22	0.06	0.22	0.21	0.11	0.14	-0.21	-0.2	-0.03	0	-0.16	-0.13	NA	-0.23	-0.02	0.23	-0.18	-0.02	-0.08	0.16	-0.07	-0.08	-0.08	-0.01	0.01	0.1	0.1	0.1	0.1	-0.03	1	0.11	0.05	0.21	0.27	-0.08	0.01
"missing_income_black"	-0.17	0.32	-0.35	0.1	-0.16	-0.15	0.14	0.14	0.11	-0.01	-0.12	0.03	-0.28	-0.04	-0.16	-0.13	-0.13	0.13	0.16	0.05	0.17	0.28	0.04	-0.19	-0.13	-0.24	-0.1	0.08	-0.14	0.04	0.1	0.09	0.15	0.04	0.26	-0.06	-0.01	-0.07	0.12	-0.25	-0.14	-0.36	-0.1	-0.19	NA	-0.11	0.2	-0.06	0.3	0.34	0.19	0.23	0.12	0.02	0.08	0.09	0.53	0.09	0.15	0.15	0.15	0.15	-0.15	0.11	1	0.67	0.22	0.28	0.3	-0.07
"missing_bw_segregation"	-0.16	0.28	-0.33	0.18	-0.15	-0.12	0.09	0.06	0.04	-0.07	-0.13	0.21	-0.26	-0.04	-0.21	-0.19	-0.17	0.18	0.17	0.11	0.12	0.25	0.09	-0.13	-0.11	-0.21	-0.04	0.12	-0.07	-0.02	0.04	0.16	0.14	0.04	0.26	-0.01	0.06	0.02	0.2	-0.27	-0.1	-0.29	-0.01	-0.22	-0.14	-0.18	NA	-0.13	0.3	0.41	0.25	0.22	0.13	0.06	0.11	0.15	0.56	0.19	0.17	0.17	0.17	0.17	-0.09	0.05	0.67	1	0.18	0.51	0.41	0.02
"missing_pcp"	-0.09	0.01	0.02	-0.1	0	-0.08	0.03	0.1	-0.16	-0.01	-0.01	0.29	0.01	0.05	-0.08	-0.09	-0.02	0.07	-0.02	0.03	-0.03	0.02	-0.03	-0.02	-0.03	-0.06	-0.11	-0.06	-0.17	0.08	0.11	0.02	-0.01	NA	0.01	0.02	0.03	0.02	0.25	-0.16	-0.15	0.02	-0.01	-0.09	-0.06	0.04	-0.12	-0.13	-0.02	0	-0.01	0.03	-0.11	-0.01	0.15	0.04	0.33	-0.04	0.07	0.07	0.07	0.07	0.14	0.21	0.22	0.18	1	0.3	-0.04	0.12
"missing_nw_segregation"	-0.09	0.19	-0.14	-0.1	0	-0.09	0.01	-0.04	-0.02	-0.17	-0.06	0.31	-0.18	-0.02	-0.1	-0.13	0.04	0.06	-0.06	0.02	0	0.04	0.1	-0.02	-0.03	-0.06	0	0.11	-0.09	-0.03	0	-0.03	-0.02	0.09	0.09	0.02	0.01	0.06	0.11	-0.25	-0.17	-0.05	-0.08	-0.16	-0.05	-0.14	NA	NA	0.06	0	-0.02	0.02	0.16	-0.01	0.03	-0.05	0.15	0.05	0.17	0.17	0.17	0.17	0.08	0.27	0.28	0.51	0.3	1	0.1	0.12
"missing_death_rate"	-0.08	0.11	-0.13	-0.03	-0.08	-0.09	0.32	0.29	0.01	-0.03	-0.05	0.07	-0.03	-0.01	-0.21	-0.04	-0.03	0.04	0.05	-0.03	0.09	0.04	0.05	-0.2	0.05	-0.1	-0.05	0.27	-0.01	-0.01	0.05	0.1	0.07	0.02	0.13	-0.25	-0.03	0	0.3	-0.4	0.02	-0.26	-0.05	-0.04	-0.07	-0.09	NA	-0.07	0.21	0.4	0.04	0.07	-0.08	-0.02	-0.1	-0.08	0.31	NA	-0.05	-0.05	-0.05	-0.05	-0.08	-0.08	0.3	0.41	-0.04	0.1	1	-0.03
"missing_prev_hosp"	-0.05	0	-0.01	-0.09	0.28	0.05	-0.01	0.01	-0.24	-0.21	0.14	0.44	0.13	0.05	-0.11	0.04	0.13	-0.1	-0.1	-0.05	-0.12	-0.16	-0.12	-0.13	0.14	0.21	0.07	-0.11	-0.02	-0.2	-0.07	-0.05	-0.14	0.03	NA	0.01	-0.08	0.1	0.34	0.01	NA	0.17	-0.03	0.04	0.1	0.07	0.01	0.05	-0.24	-0.12	-0.12	-0.08	-0.27	-0.02	0.08	-0.1	-0.08	0.08	-0.03	-0.03	-0.03	-0.03	0.33	0.01	-0.07	0.02	0.12	0.12	-0.03	1
